checkpoint,step,train_avgR,final_return,alpha,sharpe,sortino,calmar,max_drawdown,total_reward,n_trades,pct_beating
actor__000000311296_00242.809.pt,311296,242.809,120.15124068556177,118.4292985468899,1.358823436057136,1.363801103076914,2.2887728590414302,-52.49592165116934,307.59817486376375,3054,99.21414538310412
actor__000000208896_00205.471.pt,208896,205.471,53.63455394869669,51.91261181002482,0.723401559500351,0.7297742949117131,1.031687601917931,-51.98720411972464,137.37019502425207,3054,89.35821872953504
actor__000000362496.pt,362496,,58.277687279880055,56.555745141208185,0.38612695088685944,0.38781123529001116,0.7781831278869811,-74.88942536973633,149.3005699501035,3054,76.29338572364112
actor__000000004096_00100.331.pt,4096,100.331,0.0541803510801353,-1.6677617875917372,0.18904703367991482,0.18907700193629645,0.19258753524034394,-0.2813284411814073,0.13898769219219673,2844,33.03863785199738
actor__000000106496_00125.459.pt,106496,125.459,5.805227499082677,4.083285360410804,0.1384236728002437,0.13856561328831987,0.18538536505246075,-31.314378551078725,14.889077622413408,3051,52.652259332023576
actor__000000772096.pt,772096,,5.848003188369333,4.12606104969746,0.06087108425489857,0.06067885740483892,0.08634340327314173,-67.72958867360782,15.024990449517833,3054,37.39358218729535
actor__000001181696.pt,1181696,,-38.41632677018643,-40.1382689088583,-0.003405277277889288,-0.0033905973799323048,-0.36155640981762044,-106.25265028371295,-98.21779935455343,1353,36.6732154551408
act.pth,2000897,,-38.84999602735043,-40.5719381660223,-0.0036014735530201644,-0.0035926032748031006,-0.3648115513409053,-106.49332754007641,-99.3279898300168,2,36.64047151277014
actor__000002000896.pt,2000896,,-38.84999467879534,-40.57193681746721,-0.0036029565248810787,-0.003594028807952058,-0.36481154119312054,-106.49332680576926,-99.32798637771589,2,36.64047151277014
actor__000001591296.pt,1591296,,-38.84173617511988,-40.56367831379175,-0.0036275121310402566,-0.0036167026994439575,-0.3647494302783367,-106.48881931215118,-99.3068446159362,70,36.64047151277014
