timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-15T14:53:46.713004+00:00,34,25883.0,0.915840,BUY,1,1.0,0.00,0.00,250000.00
2026-01-15T16:49:05.657008+00:00,54,25922.0,0.004277,SELL,1,0.0,780.00,780.00,250770.00
2026-01-15T17:31:31.453000+00:00,56,25870.0,0.497408,BUY,1,1.0,0.00,780.00,250770.00
2026-01-21T14:25:35.730013+00:00,346,25257.25,0.268655,SELL,1,0.0,-12255.00,-11475.00,238505.00
2026-01-21T14:27:40.446009+00:00,347,25218.0,0.552217,BUY,1,1.0,0.00,-11475.00,238505.00
2026-01-21T14:37:31.111001+00:00,353,25181.75,0.198287,SELL,1,0.0,-725.00,-12200.00,237770.00
2026-01-21T14:39:07.932000+00:00,355,25179.75,0.702532,BUY,1,1.0,0.00,-12200.00,237770.00
2026-01-21T15:16:31.172000+00:00,367,25364.0,0.180036,SELL,1,0.0,3685.00,-8515.00,241445.00
2026-01-21T15:19:13.698000+00:00,368,25337.0,0.339251,BUY,1,1.0,0.00,-8515.00,241445.00
2026-01-21T19:27:56.252001+00:00,418,25384.75,0.278275,SELL,1,0.0,955.00,-7560.00,242390.00
2026-01-21T19:50:05.292047+00:00,431,25628.5,0.375894,BUY,1,1.0,0.00,-7560.00,242390.00
2026-01-23T14:30:11.507000+00:00,532,25630.25,-0.155936,SELL,1,0.0,35.00,-7525.00,242415.00
2026-01-23T14:36:51.127000+00:00,534,25619.75,-0.412044,SELL,1,-1.0,0.00,-7525.00,242415.00
2026-01-23T14:37:29.518001+00:00,535,25583.5,-0.325715,BUY,1,0.0,725.00,-6800.00,243130.00
2026-01-23T14:40:57.199001+00:00,536,25602.75,-0.415217,SELL,1,-1.0,0.00,-6800.00,243130.00
2026-01-23T16:28:09.297002+00:00,551,25792.25,-0.106986,BUY,1,0.0,-3790.00,-10590.00,239330.00
2026-01-23T16:58:33.953051+00:00,554,25788.5,0.385314,BUY,1,1.0,0.00,-10590.00,239330.00
2026-01-26T06:18:01.826000+00:00,604,25697.25,-0.118205,SELL,1,0.0,-1825.00,-12415.00,237495.00
2026-01-26T07:54:43.004000+00:00,605,25705.75,-0.629027,SELL,1,-1.0,0.00,-12415.00,237495.00
2026-01-26T15:27:30.417000+00:00,628,25846.5,-0.151824,BUY,1,0.0,-2815.00,-15230.00,234670.00
2026-01-26T15:42:08.051011+00:00,629,25838.0,0.415754,BUY,1,1.0,0.00,-15230.00,234670.00
2026-01-27T23:00:08.663000+00:00,669,26123.5,0.127425,SELL,1,0.0,5710.00,-9520.00,240370.00
2026-01-28T00:12:00.026000+00:00,670,26162.0,-0.454275,SELL,1,-1.0,0.00,-9520.00,240370.00
2026-01-28T14:14:04.011002+00:00,687,26245.25,-0.273613,BUY,1,0.0,-1665.00,-11185.00,238695.00
2026-01-28T14:32:40.415000+00:00,688,26270.0,-0.342684,SELL,1,-1.0,0.00,-11185.00,238695.00
2026-01-28T14:34:08.817000+00:00,689,26248.0,-0.294987,BUY,1,0.0,440.00,-10745.00,239125.00
2026-01-28T14:44:33.423125+00:00,692,26293.5,-0.394070,SELL,1,-1.0,0.00,-10745.00,239125.00
2026-01-28T15:10:52.263001+00:00,696,26225.5,-0.199752,BUY,1,0.0,1360.00,-9385.00,240475.00
2026-01-28T15:32:04.656000+00:00,698,26214.0,0.541977,BUY,1,1.0,0.00,-9385.00,240475.00
2026-01-28T21:11:58.717000+00:00,741,26173.0,-0.378705,SELL,2,-1.0,-820.00,-10205.00,239645.00
2026-01-28T23:14:42.509000+00:00,750,26176.0,-0.088380,BUY,1,0.0,-60.00,-10265.00,239575.00
2026-01-28T23:40:56.244002+00:00,754,26177.25,0.527685,BUY,1,1.0,0.00,-10265.00,239575.00
2026-01-29T01:16:34.041000+00:00,764,26128.0,0.199255,SELL,1,0.0,-985.00,-11250.00,238580.00
2026-01-29T02:24:24.389000+00:00,767,26163.25,-0.400297,SELL,1,-1.0,0.00,-11250.00,238580.00
2026-01-29T04:18:36.138022+00:00,769,26218.0,-0.225014,BUY,1,0.0,-1095.00,-12345.00,237475.00
2026-01-29T08:02:09.359000+00:00,772,26236.0,0.501189,BUY,1,1.0,0.00,-12345.00,237475.00
2026-01-29T12:00:58.175001+00:00,778,26215.25,0.022292,SELL,1,0.0,-415.00,-12760.00,237050.00
2026-01-29T13:35:38.668000+00:00,780,26190.75,-0.380229,SELL,1,-1.0,0.00,-12760.00,237050.00
2026-01-29T14:27:29.577144+00:00,782,26134.5,-0.282482,BUY,1,0.0,1125.00,-11635.00,238165.00
2026-01-29T14:34:11.940000+00:00,785,26098.5,0.413006,BUY,1,1.0,0.00,-11635.00,238165.00
2026-01-29T16:13:13.294023+00:00,837,25629.0,0.290257,SELL,1,0.0,-9390.00,-21025.00,228765.00
2026-01-29T16:14:20.713000+00:00,838,25663.75,-0.623595,SELL,1,-1.0,0.00,-21025.00,228765.00
2026-01-29T21:05:44.385000+00:00,875,25980.0,-0.010698,BUY,1,0.0,-6325.00,-27350.00,222430.00
2026-01-29T21:29:11.186007+00:00,876,25960.25,0.617262,BUY,1,1.0,0.00,-27350.00,222430.00
2026-01-30T11:03:24.667002+00:00,964,25794.0,0.276979,SELL,1,0.0,-3325.00,-30675.00,219095.00
2026-01-30T12:09:52.931010+00:00,970,25865.25,0.711085,BUY,1,1.0,0.00,-30675.00,219095.00
2026-01-30T20:48:26.639000+00:00,1114,25701.5,0.265068,SELL,1,0.0,-3275.00,-33950.00,215810.00
2026-01-30T20:52:03.157000+00:00,1115,25691.5,0.485803,BUY,1,1.0,0.00,-33950.00,215810.00
