timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-03-18T14:02:57.661000+00:00,34,24713.5,0.999933,BUY,1,1.0,0.00,0.00,250000.00
2026-03-18T14:57:19.381001+00:00,43,24643.25,-0.617239,SELL,2,-1.0,-1405.00,-1405.00,248585.00
2026-03-18T15:00:27.011000+00:00,44,24677.25,0.996673,BUY,2,1.0,-680.00,-2085.00,247895.00
2026-03-18T17:35:24.298001+00:00,57,24634.25,-0.845045,SELL,2,-1.0,-860.00,-2945.00,247025.00
2026-03-18T18:00:12.708001+00:00,58,24669.75,0.999824,BUY,2,1.0,-710.00,-3655.00,246305.00
2026-03-18T18:36:12.555000+00:00,63,24610.0,-0.780122,SELL,2,-1.0,-1195.00,-4850.00,245100.00
2026-03-18T18:38:55.284000+00:00,65,24599.75,0.999746,BUY,2,1.0,205.00,-4645.00,245295.00
