timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-15T14:53:46.713004+00:00,34,25883.0,-0.424880,SELL,1,-1.0,0.00,0.00,250000.00
2026-01-16T02:28:25.726001+00:00,74,25788.5,-0.324420,BUY,1,0.0,1890.00,1890.00,251880.00
2026-01-16T14:12:04.166000+00:00,81,25842.0,0.344408,BUY,1,1.0,0.00,1890.00,251880.00
2026-01-18T23:00:36.127000+00:00,128,25454.0,-0.165063,SELL,1,0.0,-7760.00,-5870.00,244110.00
2026-01-18T23:01:13.240003+00:00,129,25431.75,-0.608851,SELL,1,-1.0,0.00,-5870.00,244110.00
2026-01-20T08:10:38.821000+00:00,197,25268.0,-0.275828,BUY,1,0.0,3275.00,-2595.00,247375.00
2026-01-20T09:02:28.293000+00:00,202,25186.25,0.346874,BUY,1,1.0,0.00,-2595.00,247375.00
2026-01-20T14:32:19.127003+00:00,233,25273.75,0.292730,SELL,1,0.0,1750.00,-845.00,249115.00
2026-01-20T14:34:00.123020+00:00,235,25320.0,-0.340426,SELL,1,-1.0,0.00,-845.00,249115.00
2026-01-20T16:56:20.196000+00:00,279,25375.75,-0.327197,BUY,1,0.0,-1115.00,-1960.00,247990.00
2026-01-20T17:20:53.960008+00:00,281,25338.0,0.432865,BUY,1,1.0,0.00,-1960.00,247990.00
2026-01-21T10:04:02.645000+00:00,317,25161.75,0.274734,SELL,1,0.0,-3525.00,-5485.00,244455.00
2026-01-21T12:51:15.210001+00:00,327,25072.75,-0.435909,SELL,1,-1.0,0.00,-5485.00,244455.00
2026-01-21T16:51:44.134003+00:00,384,25271.25,-0.305133,BUY,1,0.0,-3970.00,-9455.00,240475.00
2026-01-21T17:14:26.364000+00:00,390,25146.25,0.436851,BUY,1,1.0,0.00,-9455.00,240475.00
2026-01-21T18:47:41.507000+00:00,410,25244.0,-0.035445,SELL,1,0.0,1955.00,-7500.00,242420.00
2026-01-21T18:50:14.069000+00:00,411,25281.25,-0.599019,SELL,1,-1.0,0.00,-7500.00,242420.00
2026-01-22T17:08:36.518000+00:00,497,25692.5,-0.210154,BUY,1,0.0,-8225.00,-15725.00,234185.00
2026-01-23T06:04:43.349000+00:00,515,25724.25,-0.381781,SELL,1,-1.0,0.00,-15725.00,234185.00
2026-01-23T08:52:39.844011+00:00,519,25595.0,-0.281813,BUY,1,0.0,2585.00,-13140.00,236760.00
2026-01-23T11:51:40.008016+00:00,526,25618.0,-0.424545,SELL,1,-1.0,0.00,-13140.00,236760.00
2026-01-25T23:00:00.182009+00:00,574,25518.5,-0.274028,BUY,1,0.0,1990.00,-11150.00,238740.00
2026-01-25T23:00:11.564025+00:00,576,25438.5,0.448579,BUY,1,1.0,0.00,-11150.00,238740.00
2026-01-25T23:02:11.209005+00:00,586,25451.25,0.308881,SELL,1,0.0,255.00,-10895.00,238985.00
2026-01-25T23:21:40.419001+00:00,589,25526.75,-0.352119,SELL,1,-1.0,0.00,-10895.00,238985.00
