timestamp,bar_num,bar_close,raw_action,action,quantity,position_after,pnl_realized_usd,total_pnl_usd,equity
2026-01-15T14:53:46.713004+00:00,34,25883.0,-0.999896,SELL,1,-1.0,0.00,0.00,250000.00
2026-01-16T00:59:18.315000+00:00,73,25762.25,-0.079450,BUY,1,0.0,2415.00,2415.00,252405.00
2026-01-16T09:05:17.726000+00:00,77,25835.5,0.611321,BUY,1,1.0,0.00,2415.00,252405.00
2026-01-16T15:49:45.550032+00:00,101,25631.5,0.496246,SELL,1,0.0,-4080.00,-1665.00,248315.00
2026-01-16T16:00:02.514000+00:00,103,25684.5,-0.538437,SELL,1,-1.0,0.00,-1665.00,248315.00
2026-01-18T23:00:00.280019+00:00,123,25410.5,-0.306268,BUY,1,0.0,5480.00,3815.00,253785.00
2026-01-18T23:00:10.797000+00:00,125,25424.75,0.792855,BUY,1,1.0,0.00,3815.00,253785.00
2026-01-19T00:13:25.132000+00:00,135,25430.0,0.150611,SELL,1,0.0,105.00,3920.00,253880.00
2026-01-19T01:16:37.621000+00:00,141,25447.0,-0.590710,SELL,1,-1.0,0.00,3920.00,253880.00
2026-01-19T01:21:41.406001+00:00,142,25412.0,-0.338848,BUY,1,0.0,700.00,4620.00,254570.00
2026-01-19T03:23:29.924002+00:00,143,25384.75,-0.702349,SELL,1,-1.0,0.00,4620.00,254570.00
2026-01-19T14:30:31.120002+00:00,163,25281.0,0.151341,BUY,1,0.0,2075.00,6695.00,256635.00
2026-01-19T14:51:19.790000+00:00,165,25276.5,0.893849,BUY,1,1.0,0.00,6695.00,256635.00
2026-01-20T02:37:05.761008+00:00,184,25431.5,-0.312136,SELL,1,0.0,3100.00,9795.00,259725.00
2026-01-20T05:27:37.742013+00:00,187,25407.25,-0.754947,SELL,1,-1.0,0.00,9795.00,259725.00
2026-01-20T09:17:23.070007+00:00,203,25165.5,-0.429479,BUY,1,0.0,4835.00,14630.00,264550.00
2026-01-20T09:59:20.508000+00:00,206,25135.25,-0.508961,SELL,1,-1.0,0.00,14630.00,264550.00
2026-01-20T10:21:03.939001+00:00,208,25184.25,-0.306938,BUY,1,0.0,-980.00,13650.00,263560.00
2026-01-20T10:41:01.590000+00:00,209,25167.5,0.777230,BUY,1,1.0,0.00,13650.00,263560.00
2026-01-20T14:38:31.097032+00:00,239,25322.0,0.448477,SELL,1,0.0,3090.00,16740.00,266640.00
2026-01-20T14:43:44.872013+00:00,243,25316.0,-0.962403,SELL,1,-1.0,0.00,16740.00,266640.00
2026-01-20T17:20:53.960008+00:00,281,25338.0,-0.377865,BUY,1,0.0,-440.00,16300.00,266190.00
2026-01-20T17:41:26.344000+00:00,283,25335.25,0.503877,BUY,1,1.0,0.00,16300.00,266190.00
2026-01-20T20:56:11.588000+00:00,300,25138.0,0.267516,SELL,1,0.0,-3945.00,12355.00,262235.00
2026-01-20T21:33:28.483000+00:00,302,25127.25,-0.685845,SELL,1,-1.0,0.00,12355.00,262235.00
2026-01-21T12:23:47.318014+00:00,325,25082.0,-0.063818,BUY,1,0.0,905.00,13260.00,263130.00
2026-01-21T12:51:15.210001+00:00,327,25072.75,0.878203,BUY,1,1.0,0.00,13260.00,263130.00
2026-01-21T13:55:31.522000+00:00,332,25120.0,0.318680,SELL,1,0.0,945.00,14205.00,264065.00
2026-01-21T14:04:41.316004+00:00,334,25112.25,-0.929790,SELL,1,-1.0,0.00,14205.00,264065.00
2026-01-21T17:23:40.212002+00:00,392,25215.75,0.152913,BUY,1,0.0,-2070.00,12135.00,261985.00
2026-01-21T17:26:55.970023+00:00,393,25191.75,0.867248,BUY,1,1.0,0.00,12135.00,261985.00
2026-01-21T19:01:55.377042+00:00,412,25295.75,-0.224938,SELL,1,0.0,2080.00,14215.00,264055.00
2026-01-21T19:24:31.496005+00:00,414,25272.75,-0.715835,SELL,1,-1.0,0.00,14215.00,264055.00
2026-01-22T07:07:10.969001+00:00,456,25510.25,-0.406709,BUY,1,0.0,-4750.00,9465.00,259295.00
2026-01-22T08:18:29.642002+00:00,460,25641.25,-0.798749,SELL,1,-1.0,0.00,9465.00,259295.00
2026-01-22T12:03:18.098011+00:00,467,25663.0,-0.230787,BUY,1,0.0,-435.00,9030.00,258850.00
2026-01-22T14:32:17.404002+00:00,471,25672.0,0.815619,BUY,1,1.0,0.00,9030.00,258850.00
2026-01-22T17:08:36.518000+00:00,497,25692.5,0.498108,SELL,1,0.0,410.00,9440.00,259250.00
2026-01-22T19:12:37.835000+00:00,501,25707.0,-0.633333,SELL,1,-1.0,0.00,9440.00,259250.00
2026-01-22T21:58:04.332005+00:00,509,25624.5,-0.412347,BUY,1,0.0,1650.00,11090.00,260890.00
2026-01-23T01:03:59.752000+00:00,513,25662.5,-0.719596,SELL,1,-1.0,0.00,11090.00,260890.00
2026-01-23T21:07:03.618000+00:00,569,25715.75,0.235971,BUY,1,0.0,-1065.00,10025.00,259815.00
2026-01-23T21:20:01.431000+00:00,570,25678.5,0.801141,BUY,1,1.0,0.00,10025.00,259815.00
2026-01-25T23:08:36.904000+00:00,587,25482.25,-0.359158,SELL,1,0.0,-3925.00,6100.00,255880.00
2026-01-25T23:12:34.103000+00:00,588,25497.5,-0.916394,SELL,1,-1.0,0.00,6100.00,255880.00
2026-01-27T14:31:04.698001+00:00,651,25995.25,-0.191159,BUY,1,0.0,-9955.00,-3855.00,245915.00
2026-01-27T14:33:34.858005+00:00,652,25972.5,0.654033,BUY,1,1.0,0.00,-3855.00,245915.00
2026-01-28T06:00:00.002005+00:00,673,26265.25,0.442810,SELL,1,0.0,5855.00,2000.00,251760.00
2026-01-28T06:20:08.587001+00:00,675,26320.75,-0.873415,SELL,1,-1.0,0.00,2000.00,251760.00
2026-01-28T19:40:15.219003+00:00,720,26139.0,0.160911,BUY,1,0.0,3635.00,5635.00,255385.00
2026-01-28T19:45:46.434000+00:00,721,26165.5,0.802597,BUY,1,1.0,0.00,5635.00,255385.00
2026-01-28T21:11:58.717000+00:00,741,26173.0,0.286993,SELL,1,0.0,150.00,5785.00,255525.00
2026-01-28T21:20:35.772012+00:00,743,26219.25,-0.624248,SELL,1,-1.0,0.00,5785.00,255525.00
2026-01-29T15:03:40.523008+00:00,805,25765.5,-0.497515,BUY,1,0.0,9075.00,14860.00,264590.00
2026-01-29T15:06:22.672000+00:00,807,25785.0,0.575111,BUY,1,1.0,0.00,14860.00,264590.00
2026-01-29T15:27:24.483000+00:00,818,25782.5,0.258879,SELL,1,0.0,-50.00,14810.00,264530.00
2026-01-29T15:35:07.186011+00:00,821,25681.0,-0.617630,SELL,1,-1.0,0.00,14810.00,264530.00
2026-01-29T15:57:41.172000+00:00,829,25614.5,-0.279179,BUY,1,0.0,1330.00,16140.00,265850.00
2026-01-29T16:04:16.197000+00:00,832,25594.0,0.806845,BUY,1,1.0,0.00,16140.00,265850.00
2026-01-29T16:04:55.056001+00:00,833,25557.5,0.419323,SELL,1,0.0,-730.00,15410.00,265110.00
2026-01-29T16:11:01.160000+00:00,836,25593.25,0.795590,BUY,1,1.0,0.00,15410.00,265110.00
2026-01-29T18:37:02.014001+00:00,862,25854.0,0.218984,SELL,1,0.0,5215.00,20625.00,270315.00
2026-01-29T18:59:43.765000+00:00,864,25838.75,-0.750478,SELL,1,-1.0,0.00,20625.00,270315.00
2026-01-30T04:57:43.208000+00:00,932,25856.0,0.263811,BUY,1,0.0,-345.00,20280.00,269960.00
2026-01-30T05:44:45.002000+00:00,933,25846.75,0.520786,BUY,1,1.0,0.00,20280.00,269960.00
2026-01-30T07:06:44.072001+00:00,941,25777.25,0.238208,SELL,1,0.0,-1390.00,18890.00,268560.00
2026-01-30T07:25:27.364000+00:00,942,25764.0,-0.553435,SELL,1,-1.0,0.00,18890.00,268560.00
2026-01-30T07:59:58.798000+00:00,944,25705.75,-0.475713,BUY,1,0.0,1165.00,20055.00,269715.00
2026-01-30T08:04:58.666000+00:00,945,25726.25,-0.679103,SELL,1,-1.0,0.00,20055.00,269715.00
